track,chemistry,method_or_feature,fold,seed_or_init,precision,measured,reason
B_kf_fp32_filter,LFP,plain_2rc_ekf,FUDS,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,adaptive_hysteresis_2rc_ekf,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,LFP,adaptive_hysteresis_2rc_ekf,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,adaptive_hysteresis_2rc_ekf,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,adaptive_hysteresis_2rc_ekf,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,adaptive_hysteresis_2rc_ekf,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,adaptive_hysteresis_2rc_ekf,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,cc,US06,oracle,fp32,True,full-record MCU replay
B_kf_onchip_result,LFP,cc,US06,minus5pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,LFP,cc,US06,minus10pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,LFP,hysteresis_2rc_ekf,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,LFP,hysteresis_2rc_ekf,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,hysteresis_2rc_ekf,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,hysteresis_2rc_ekf,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,hysteresis_2rc_ekf,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,hysteresis_2rc_ekf,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,2rc_ukf,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,LFP,2rc_ukf,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,2rc_ukf,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,2rc_ukf,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,2rc_ukf,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,2rc_ukf,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,plain_2rc_ekf,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,LFP,plain_2rc_ekf,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,plain_2rc_ekf,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,plain_2rc_ekf,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,LFP,plain_2rc_ekf,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,LFP,plain_2rc_ekf,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,DST,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,1RC_EKF,DST,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,DST,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,1RC_EKF,DST,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,DST,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,1RC_EKF,DST,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,DST,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,2RC_EKF,DST,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,DST,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_EKF,DST,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,DST,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_EKF,DST,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,DST,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,2RC_UKF,DST,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,DST,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_UKF,DST,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,DST,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_UKF,DST,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,DST,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,DST,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,DST,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,DST,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,DST,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,DST,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,CC,DST,oracle,fp32,True,full-record MCU replay
B_kf_onchip_result,NMC,CC,DST,minus5pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,NMC,CC,DST,minus10pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,NMC,1RC_EKF,FUDS,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,1RC_EKF,FUDS,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,FUDS,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,1RC_EKF,FUDS,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,FUDS,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,1RC_EKF,FUDS,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,FUDS,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,2RC_EKF,FUDS,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,FUDS,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_EKF,FUDS,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,FUDS,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_EKF,FUDS,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,FUDS,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,2RC_UKF,FUDS,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,FUDS,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_UKF,FUDS,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,FUDS,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_UKF,FUDS,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,FUDS,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,FUDS,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,FUDS,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,FUDS,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,FUDS,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,FUDS,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,CC,FUDS,oracle,fp32,True,full-record MCU replay
B_kf_onchip_result,NMC,CC,FUDS,minus5pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,NMC,CC,FUDS,minus10pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,NMC,1RC_EKF,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,1RC_EKF,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,1RC_EKF,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,1RC_EKF,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,1RC_EKF,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,2RC_EKF,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_EKF,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_EKF,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_EKF,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,2RC_UKF,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_UKF,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,2RC_UKF,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,2RC_UKF,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,US06,oracle,fp64,True,full-record MCU replay
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,US06,oracle,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,US06,minus5pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,US06,minus5pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,Adaptive_2RC_EKF,US06,minus10pp,fp64,False,MISSING_not_measured_initial_perturbation
B_kf_fp32_filter,NMC,Adaptive_2RC_EKF,US06,minus10pp,fp32,False,MISSING_not_measured; actual filter build is FP64 software
B_kf_onchip_result,NMC,CC,US06,oracle,fp32,True,full-record MCU replay
B_kf_onchip_result,NMC,CC,US06,minus5pp,fp32,False,MISSING_not_measured_initial_perturbation
B_kf_onchip_result,NMC,CC,US06,minus10pp,fp32,False,MISSING_not_measured_initial_perturbation
